word1,word2,sim
old,new,0.00
smart,intelligent,9.77
hard,difficult,9.69
happy,cheerful,9.31
hard,easy,0.00
fast,rapid,9.85
happy,glad,9.38
short,long,0.00
stupid,dumb,9.08
weird,strange,9.69
wide,narrow,0.00
bad,awful,9.38
easy,difficult,0.00
bad,terrible,9.46
hard,simple,0.00
smart,dumb,0.00
insane,crazy,9.62
happy,mad,0.00
large,huge,9.69
hard,tough,9.15
new,fresh,8.62
sharp,dull,0.00
quick,rapid,9.85
dumb,foolish,8.92
wonderful,terrific,9.62
strange,odd,9.62
happy,happy,9.69
nice,gennice,0.00
new,ancient,0.00
dull,funny,0.00
happy,young,0.08
easy,big,0.00
great,awful,0.00
tiny,huge,0.00
polite,proper,7.92
modest,ashamed,1.92
exotic,rare,8.31
dumb,clever,0.00
delightful,wonderful,9.23
noticeable,obvious,9.15
afraid,anxious,6.92
formal,proper,8.08
dreary,dull,6.92
delightful,cheerful,8.46
unhappy,mad,6.38
sad,terrible,6.00
sick,crazy,2.38
violent,angry,5.92
laden,heavy,8.00
dirty,cheap,1.31
sly,sly,0.15
modest,flexible,0.00
fresh,wide,0.00
large,flexible,2.
anger,fury,7.92
date,calendar,4.23
sea,ocean,6.23
second,minute,2.69
hand,thumb,3.31
wood,log,4.54
mud,dirt,4.46
hallway,corridor,8.54
way,manner,6.23
mouse,cat,1.77
cop,sheriff,7.46
death,burial,4.85
music,melody,6.46
beer,alcohol,5.92
mouth,lip,5.62
storm,hurricane,6.85
tax,income,2.77
flower,violet,5.00
paper,cardboard,3.54
floor,ceiling,1.62
beach,seashore,6.46
rod,curtain,2.31
hound,fox,2.31
clothes,cloth,2.62
band,orchestra,4.23
money,capital,5.62
hand,foot,0.69
alcohol,cocktail,5.62
yard,inch,1.69
molecule,atom,3.92
lens,camera,2.77
meal,dinner,6.69
eye,tear,1.31
god,devil,0.23
loop,belt,1.85
rat,mouse,4.69
motor,engine,8.54
car,cab,3.85
cat,lion,3.15
size,magnitude,6.00
reality,fantasy,0.23
door,gate,7.23
cat,pet,2.69
tin,aluminum,1.77
bone,jaw,1.92
cereal,wheat,0.69
house,key,0.31
blood,flesh,0.85
door,corridor,0.77
horn,drum,46
mob,crowd,4.23
story,topic,1.62
game,fun,2.23
weekend,week,3.00
couple,pair,6.85
woman,wife,2.85
sheep,cattle,1.38
purse,bag,4.46
ceiling,cathedral,1.69
bean,coffee,1.08
wood,paper,1.15
top,side,2.00
crime,fraud,4.69
pain,harm,3.92
lover,companion,3.62
evening,dusk,4.77
father,daughter,1.15
wine,liquor,5.85
cow,goat,1.23
belief,opinion,5.31
reality,illusion,1.08
pact,agreement,7.62
wealth,poverty,1.08
accident,emergencaccident,8.08
machine,engine,2.62
beach,sea,3.54
alley,bowl,0.69
jar,bottle,4.46
strength,capability,3.77
seed,mustard,0.77
guitar,drum,1.00
opinion,idea,6.15
north,west,0.31
diet,salad,0.92
mother,wife,2.23
dad,mother,1.23
captain,sailor,4.69
meter,yard,3.46
beer,champagne,3.77
motor,boat,0.77
card,bridge,0.38
science,psychology,3.54
sinner,saint,0.46
destruction,construction,0.31
crowd,bunch,5.23
beach,reef,1.38
man,child,1.15
king,princess,2.38
whiskey,gin,4.62
blood,marrow,1.23
oil,mink,1.08
floor,deck,6.46
roof,floor,0.31
door,floor,0.31
shoulder,head,0.92
wagon,carriage,7.00
car,carriage,5.00
elbow,ankle,0.31
wealth,fame,3.77
sorrow,shame,4.77
administration,management,7.08
communication,conversation,5.85
pollution,atmosphere,2.54
anatomy,biology,4.46
college,profession,2.46
