word1,word2,sim
love,sex,8.31
tiger,cat,8.31
tiger,tiger,10.00
book,paper,7.69
computer,keyboard,8.38
computer,internet,8.23
plane,car,5.85
train,car,6.31
telephone,communication,8.38
television,radio,6.85
media,radio,8.08
drug,abuse,6.46
bread,butter,7.54
cucumber,potato,5.92
doctor,nurse,8.15
professor,doctor,5.31
student,professor,6.54
smart,student,6.58
smart,stupid,5.92
company,stock,6.85
stock,market,7.46
stock,phone,1.54
stock,CD,4.04
stock,jaguar,1.54
stock,egg,1.62
fertility,egg,8.38
stock,live,3.69
stock,life,1.85
book,library,8.77
bank,money,8.69
wood,forest,8.38
money,cash,1.46
fuck,sex,7.08
football,tennis,6.46
drink,mouth,6.38
journey,voyage,9.54
boy,lad,9.46
asylum,madhouse,1.15
noon,string,5.54
precedent,cognition,4.15
precedent,law,6.54
precedent,collection,3.92
precedent,group,2.38
precedent,antecedent,6.69
cup,coffee,7.65
cup,tableware,7.54
cup,article,1.85
cup,artifact,3.54
cup,object,6.62
cup,entity,2.08
cup,drink,7.96
cup,food,4.15
cup,substance,3.69
cup,liquid,6.82
jaguar,cat,8.85
jaguar,car,7.35
energy,secretary,0.92
secretary,senate,3.92
energy,laboratory,4.12
computer,laboratory,4.58
weapon,secret,4.69
Japanese,American,6.15
theater,history,2.65
volunteer,motto,1.85
prejudice,recognition,2.73
decoration,valor,6.88
century,year,6.54
century,nation,1.46
delay,racism,1.08
delay,news,1.88
minister,party,2.58
peace,plan,3.69
minority,peace,2.85
attempt,peace,2.35
government,crisis,4.42
deployment,departure,7.81
deployment,withdrawal,6.27
energy,crisis,3.85
announcement,news,7.62
announcement,effort,3.08
stroke,hospital,5.88
disability,death,5.15
victim,emergency,6.77
treatment,recovery,7.54
reason,criterion,1.92
street,avenue,8.77
street,block,7.85
street,children,1.54
listing,proximity,8.08
dollar,budollar,6.19
country,citizen,6.15
planet,people,5.85
development,issue,4.58
experience,music,4.54
music,project,4.46
glass,metal,4.58
aluminum,metal,7.62
chance,credibility,4.12
exhibit,memorabilia,5.85
concert,virtuoso,6.04
rock,jazz,6.85
museum,theater,6.00
observation,architecture,3.62
space,world,5.85
preservation,world,4.31
admission,ticket,7.42
shower,thunderstorm,6.73
shower,flood,6.19
weather,forecast,7.88
disaster,area,5.04
